"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Backward Search","Incentives Increase Relative Positivity of Review Content and Enjoyment of Review Writing","","","","","Journal of Marketing Research","Woolley and Sharif","2021","x","","","","","x","","","x","","","","","",""
"Scopus Backward Search","Reputation, Trust, and Rebates: How Online Auction Markets Can Improve Their Feedback Mechanisms","","","","","Journal of Economics & Management Strategy","Li","2010","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","Money Talks: Rebate Mechanisms in Reputation System Design","","","","","Management Science","Li and Xiao","2014","x","x","","","","","","","x","","","","","",""
"Scopus Keyword Search","Unfolding the characteristics of incentivized online reviews","","","","","Journal of Retailing and Consumer Services","Costa et al.","2019","x","","x","","","","x","","","","","","","",""
"Scopus Backward Search","An Economic Analysis of Rebates Conditional on Positive Reviews","","","","","Information Systems Research","Chen et al.","2021","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","Buying reputation as a signal of quality: Evidence from an online marketplace","National Bureau of Economic Research ","","","","","Li et al.","2016","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Stimulating Online Reviews by Combining Financial Incentives and Social Norms","","","","","Management Science","Burtch et al.","2018","x","","","","","","","","x","","","","x","",""
"Scopus Forward Search","Feeling warm or skeptical? An investigation into the effects of incentivized eWOM programs on customers’ eWOM sharing intentions","","","","","Journal of Business Research","Chen et al.","2023","x","","","","","","x","","","","x","","","",""
"Scopus Forward Search","The impact of mandatory disclosure on rewarding online reviews based on S-O-R theory","","","","","Asia Pacific Journal of Marketing and Logistics","Liang et al.","2025","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","EMPIRICAL STUDY OF THE MOTIVATIONS OF E-WOM SPREADING ON ONLINE FEEDBACK SYSTEM IN CHINA","","","","Pacific Asia Conference on Information Systems (PACIS)","","Cui et al.","2014","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","Social free sampling: engaging consumer through product trial reports","","","","","Information Technology & People","Liao et al.","2023","x","","x","","","","","","","","","","","",""
"Scopus Forward Search","Unpacking the experience of individuals engaging in incentivized false (and genuine) positive reviews: The impact on brand satisfaction","","","","","Journal of Business Research","Bozkurt et al.","2023","x","","x","","","","","","","","","","","",""
"Scopus Forward Search","Is Product Sampling Good for Brands’ Online Word of Mouth?","","","","International Conference on Information Systems (ICIS)","","Mo and Li","2018","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Differential Effects of Monetary and Social Rewards on Product Online Rating Decisions in E-Commerce in China","","","","","Frontiers in Psychology","Wang et al.","2020","x","","","x","","","x","","","","","","x","",""
"Scopus Forward Search","Encouraging altruistic user-generated content in gamified review platforms","","","","","Internet Research","Buil et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Forward Search","Incentivized fake reviews: When cognitive reappraisal paves the way for an immoral journey","","","","","Journal of Consumer Behaviour","Malik et al.","2024","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Determinants of multimodal fake review generation in China’s E-commerce platforms","","","","","Scientific Reports","Liu et al.","2024","x","","","","","","","","","","","","","","x"
"Scopus Keyword Search","The Effects of Featuring Product Sampling Reviews on E-Tailer Websites","","","","","Journal of the Association for Information Systems","Lu et al.","2024","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Mixed Messages: An Examination of Reviewer Badges and Consumer Trust with Online Review Platforms","","","","","AIS Transactions on Human-Computer Interaction","Nguyen et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Backward Search","Understanding the Intention of Information Contribution to Online Feedback Systems from Social Exchange and Motivation Crowding Perspectives","","","","Hawaii International Conference on System Sciences (HICSS)","","Tong et al.","2007","x","","","x","","","","","","","","","","",""
"Scopus Backward Search","When are the buyers willing to post comments on an online feedback system? The moderating effects of online interactivity between buyers and sellers","","","","International Conference on Service Systems and Service Management (ICSSSM)","","Liye and Deng-hua","2016","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","The role of individualism, collectivism, and promotional reward type on consumer response to amplified word-of-mouth strategies","","","","","Journal of Consumer Marketing","Rawal et al.","2024","x","","","x","","","","","","","","x","","",""
"Scopus Forward Search","The Anchoring Effect of “Quality Threshold for Monetary Incentive” on Online Review Platforms","","","","Pacific Asia Conference on Information Systems (PACIS)","","Zhang et al.","2023","x","x","","x","","","","","","","","","","",""
"Scopus Forward Search","Biases in online reviews: the default positive review rule and the conditional rebate strategy","","","","","Internet Research","An et al.","2025","x","x","x","","","","","","","","","","","",""
"Scopus Forward Search","What influences wellness customers to engage in electronic word of mouth? A total interpretive structural modelling approach","","","","","International Journal of Spa and Wellness","Tariyal et al.","2023","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","Status Downgrade: The Impact of Losing Status on a User-Generated Content Platform","","","","","Production and Operations Management","Pamuru et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Forward Search","Can the Conditional Rebate Strategy Work? Signaling Quality via Induced Online Reviews","","","","","Journal of Theoretical and Applied Electronic Commerce Research","Xiao et al.","2024","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","What Motivates Consumers to Write Online Reviews? Qualitative Research in the Indian Cultural Context","","","","","Journal of Global Marketing","Kaur and Singh","2021","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","Effect of sponsorship disclosure on online consumer responses to positive reviews: The moderating role of emotional intensity and tie strength","","","","","Decision Support Systems","Wang et al.","2022","x","","x","","","","","","x","","","","","",""
"Scopus Keyword Search","Driving Factors of Online Reviews and eWOM in International Hotel Industry","","","","Communications in Computer and Information Science","","Buzulukova and Sarkisian","2020","x","","","","","","","","","","","","","","x"
"Scopus Backward Search","Modeling the dynamics of online review life cycle: Role of social and economic moderations","","","","","European Journal of Operational Research","Jiang et al.","2020","x","x","","x","","","","","","","","","","",""
"Scopus Keyword Search","The impact of monetary rewards for online reviews","","","","","Asia Pacific Journal of Marketing and Logistics","Duan et al.","2019","","x","","","","","","","x","","","","","",""
"Scopus Keyword Search","Empowering Consumer Decision-Making: Decoding Incentive vs. Organic Reviews for Smarter Choices Through Advanced Textual Analysis","","","","","Electronics","Kargozari et al.","2024","x","","","","","","","","","","","","","","x"
"Scopus Forward Search","Understanding and Encouraging Online Reviewing With a Selection-Based Review System","","","","","Interacting with Computers","Fleck et al.","2019","x","","","x","","","","","x","x","","","","",""
"Scopus Forward Search","Effects of Sponsorship Disclosure on Brand Attitude via Resistance Strategies Under Moderation of Review Valence in Online Consumer Reviews","","Advances in Advertising Research (Vol. XII)","","","","Han and Banks","2023","x","","","","","","","","","","","","","","x"
"Scopus Keyword Search","Extrinsic versus Intrinsic Rewards for Contributing Reviews in an Online Platform","","","","","Information Systems Research","Khern-am-nuai et al.","2018","x","","","x","","","","","","","","","","",""
"Scopus Backward Search","An Empirical Study of Free Product Sampling and Rating Bias","","","","","Information Systems Research","Lin et al. ","2019","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Motivation of user-generated content: Social connectedness moderates the effects of monetary rewards","","","","","Marketing Science","Sun et al.","2017","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","Financial incentives dampen altruism in online prosocial contributions: A study of online reviews","","","","","Information Systems Research","Qiao et al.","2020","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Uncertainty Reduction vs. Reciprocity: Understanding the Effect of a Platform-Initiated Reviewer Incentive Program on Regular Ratings","","","","","Information Systems Research","Pu et al.","2024","x","","x","","","","","","","","","","","",""
